participant_ID,program_ID,rm_engagement,gender_female,urm,pre_interest,negative_affect,post_science_interest,post_science_competence_beliefs,post_science_utility_value,post_mathematics_interest,post_mathematics_competence_beliefs,post_mathematics_utility_value,post_engineering_interest,post_engineering_competence_beliefs,post_engineering_utility_value,post_future_job_work_science_computer,post_future_job_use_science_math,post_future_job_become_STEM,post_interest,overall_post_competence_beliefs,overall_post_utility_value,program_name,rownum
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,18
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,19
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,20
1005,1,2.75,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,21
1005,1,2.75,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,22
1005,1,3,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,23
1005,1,2.75,0,0,3.3333333333333335,1,3,3,3,3.3333333333333335,3.6666666666666665,3,3.3333333333333335,3,3.2,4,3,3,NA,3.6666666666666665,3.2,Boston - Dorchester House,24
1006,1,2.25,1,1,3.6666666666666665,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston - Dorchester House,1
1006,1,2,1,1,3.6666666666666665,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston - Dorchester House,2
1006,1,2.25,1,1,3.6666666666666665,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston - Dorchester House,3
1006,1,2.75,1,1,3.6666666666666665,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston - Dorchester House,4
1007,1,2,1,1,3.3333333333333335,1,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,2.3333333333333335,3,2.6,Boston - Dorchester House,1
1007,1,2.5,1,1,3.3333333333333335,1,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,2
1007,1,2.25,1,1,3.3333333333333335,1,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,3
1007,1,2,1,1,3.3333333333333335,1,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,4
1007,1,2.25,1,1,3.3333333333333335,1,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,5
1007,1,1.75,1,1,3.3333333333333335,1.5,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,6
1007,1,2.5,1,1,3.3333333333333335,1,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,7
1007,1,2.5,1,1,3.3333333333333335,1,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,8
1007,1,2.25,1,1,3.3333333333333335,1,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,9
1007,1,2.5,1,1,3.3333333333333335,1,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,10
1007,1,2,1,1,3.3333333333333335,1,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,11
1007,1,2.25,1,1,3.3333333333333335,2,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,12
1007,1,2,1,1,3.3333333333333335,1.5,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,13
1007,1,2.5,1,1,3.3333333333333335,1,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,14
1007,1,2.25,1,1,3.3333333333333335,1.5,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,15
1007,1,2.25,1,1,3.3333333333333335,1.5,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,16
1007,1,2,1,1,3.3333333333333335,1.5,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,17
1007,1,2.25,1,1,3.3333333333333335,2,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,18
1007,1,1,1,1,3.3333333333333335,1.5,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,19
1007,1,2,1,1,3.3333333333333335,1.5,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,20
1007,1,2,1,1,3.3333333333333335,1.5,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,21
1007,1,2.25,1,1,3.3333333333333335,1.5,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,22
1007,1,2,1,1,3.3333333333333335,1.5,2,2.6666666666666665,2,2.3333333333333335,3,2.6,2,1.6666666666666667,1.8,2,1,1,NA,3,2.6,Boston - Dorchester House,23
1008,1,1.75,1,1,4,4,4,4,4,2,2,2,3,3,2.8,1,3,3,4,4,4,Boston - Dorchester House,1
1008,1,2.5,1,1,4,1,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,2
1008,1,2.5,1,1,4,4,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,3
1008,1,2.25,1,1,4,4,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,4
1008,1,2.5,1,1,4,4,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,5
1008,1,1.75,1,1,4,4,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,6
1008,1,1.5,1,1,4,4,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,7
1008,1,1.25,1,1,4,4,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,8
1008,1,2.5,1,1,4,4,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,9
1008,1,3.25,1,1,4,2.5,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,10
1008,1,1.25,1,1,4,4,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,11
1008,1,2,1,1,4,2.5,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,12
1008,1,2.75,1,1,4,1.5,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,13
1008,1,1.75,1,1,4,4,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,14
1008,1,1,1,1,4,4,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,15
1008,1,2.5,1,1,4,4,4,4,4,2,2,2,3,3,2.8,1,3,3,NA,4,4,Boston - Dorchester House,16
1009,1,3,0,1,4,3,4,4,4,4,4,4,4,4,3.6,4,4,4,4,4,4,Boston - Dorchester House,1
1009,1,2,0,1,4,3,4,4,4,4,4,4,4,4,3.6,4,4,4,NA,4,4,Boston - Dorchester House,2
1009,1,3.5,0,1,4,4,4,4,4,4,4,4,4,4,3.6,4,4,4,NA,4,4,Boston - Dorchester House,3
1009,1,3.25,0,1,4,3,4,4,4,4,4,4,4,4,3.6,4,4,4,NA,4,4,Boston - Dorchester House,4
1009,1,2.25,0,1,4,3,4,4,4,4,4,4,4,4,3.6,4,4,4,NA,4,4,Boston - Dorchester House,5
1009,1,2.25,0,1,4,3,4,4,4,4,4,4,4,4,3.6,4,4,4,NA,4,4,Boston - Dorchester House,6
1009,1,2.25,0,1,4,3,4,4,4,4,4,4,4,4,3.6,4,4,4,NA,4,4,Boston - Dorchester House,7
1009,1,2.25,0,1,4,3,4,4,4,4,4,4,4,4,3.6,4,4,4,NA,4,4,Boston - Dorchester House,8
1009,1,2.25,0,1,4,3,4,4,4,4,4,4,4,4,3.6,4,4,4,NA,4,4,Boston - Dorchester House,9
1009,1,2.25,0,1,4,3,4,4,4,4,4,4,4,4,3.6,4,4,4,NA,4,4,Boston - Dorchester House,10
1009,1,2.25,0,1,4,3,4,4,4,4,4,4,4,4,3.6,4,4,4,NA,4,4,Boston - Dorchester House,11
1010,1,3.25,0,1,3,3,2.6666666666666665,3.3333333333333335,3,3,3,3,3,3,3,3,3,3,3,3.3333333333333335,3,Boston - Dorchester House,1
1010,1,4,0,1,3,4,2.6666666666666665,3.3333333333333335,3,3,3,3,3,3,3,3,3,3,NA,3.3333333333333335,3,Boston - Dorchester House,2
1010,1,2.5,0,1,3,3,2.6666666666666665,3.3333333333333335,3,3,3,3,3,3,3,3,3,3,NA,3.3333333333333335,3,Boston - Dorchester House,3
1010,1,2.75,0,1,3,3,2.6666666666666665,3.3333333333333335,3,3,3,3,3,3,3,3,3,3,NA,3.3333333333333335,3,Boston - Dorchester House,4
1010,1,3,0,1,3,3,2.6666666666666665,3.3333333333333335,3,3,3,3,3,3,3,3,3,3,NA,3.3333333333333335,3,Boston - Dorchester House,5
1010,1,3.25,0,1,3,3.5,2.6666666666666665,3.3333333333333335,3,3,3,3,3,3,3,3,3,3,NA,3.3333333333333335,3,Boston - Dorchester House,6
1010,1,3,0,1,3,3,2.6666666666666665,3.3333333333333335,3,3,3,3,3,3,3,3,3,3,NA,3.3333333333333335,3,Boston - Dorchester House,7
1010,1,3.25,0,1,3,3,2.6666666666666665,3.3333333333333335,3,3,3,3,3,3,3,3,3,3,NA,3.3333333333333335,3,Boston - Dorchester House,8
1010,1,3.25,0,1,3,3,2.6666666666666665,3.3333333333333335,3,3,3,3,3,3,3,3,3,3,NA,3.3333333333333335,3,Boston - Dorchester House,9
1010,1,3,0,1,3,3,2.6666666666666665,3.3333333333333335,3,3,3,3,3,3,3,3,3,3,NA,3.3333333333333335,3,Boston - Dorchester House,10
