participant_ID,program_ID,program_providence,have_no_demo_data,have_pre_survey_data,have_post_survey_data,has_grade,race,gender,English,Mathematics,Science,STAR_BOY_Math_ScaledScore,STAR_MOY_Math_ScaledScore,STAR_EOY_Math_ScaledScore,standardized_bos,has_standardized_score,standardized_but_no_grade,grade_but_no_standardized,LEP,SP,DaysEnrolled14/15,English15/16,Math15/16,Science15/16,Standardized_Bos 15/16
10272,10,1,0,0,0,1,Hispanic,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
10274,10,1,1,1,0,1,Hispanic,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
10275,10,1,0,0,1,1,Hispanic,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
10299,10,1,1,0,1,1,Black,M,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
1001,1,0,0,1,1,0,Hispanic,M,1,1,1,NA,NA,NA,753,1,0,0,NA,NA,NA,NA,NA,NA,NA
1002,1,0,0,1,1,1,Asian,F,NA,4,4,NA,NA,NA,781,1,0,0,NA,NA,NA,NA,NA,NA,NA
1003,1,0,0,1,1,1,Asian,M,NA,4,3,NA,NA,NA,731,1,0,0,NA,NA,NA,NA,NA,NA,NA
1004,1,0,0,1,1,0,Black,M,1,0,0,NA,NA,NA,696,1,0,0,NA,NA,NA,NA,NA,NA,NA
1005,1,0,0,1,1,1,Asian,M,NA,3,4,NA,NA,NA,763,1,0,0,NA,NA,NA,NA,NA,NA,NA
1006,1,0,0,1,0,0,Black,F,0,0,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA
1008,1,0,0,1,1,1,Hispanic,F,NA,2,3,NA,NA,NA,705,1,0,0,NA,NA,NA,NA,NA,NA,NA
2015,2,0,0,1,1,0,Hispanic,M,4,4,4,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA
2020,2,0,0,1,0,0,Hispanic,F,2,2,3,NA,NA,NA,734,1,0,0,NA,NA,NA,NA,NA,NA,NA
2038,2,0,0,1,0,0,Black,M,3,2,2,NA,NA,NA,742,1,0,0,NA,NA,NA,NA,NA,NA,NA
2042,2,0,0,1,1,0,Hispanic,F,4,4,3,NA,NA,NA,712,1,0,0,NA,NA,NA,NA,NA,NA,NA
2046,2,0,0,1,1,0,Asian,M,3,3,3,NA,NA,NA,688,1,0,0,NA,NA,NA,NA,NA,NA,NA
4066,4,0,0,1,0,1,Hispanic,M,NA,0,2,NA,NA,NA,719,1,0,0,NA,NA,NA,NA,NA,NA,NA
4069,4,0,0,1,1,1,Hispanic,F,NA,2,NA,NA,NA,NA,731,1,0,0,NA,NA,NA,NA,NA,NA,NA
4073,4,0,0,1,1,0,Black,M,0,0,0,NA,NA,NA,721,1,0,0,NA,NA,NA,NA,NA,NA,NA
4077,4,0,0,1,0,1,Hispanic,F,NA,2,2,NA,NA,NA,739,1,0,0,NA,NA,NA,NA,NA,NA,NA
4079,4,0,0,1,1,1,Black,M,NA,1,1,NA,NA,NA,706,1,0,0,NA,NA,NA,NA,NA,NA,NA
4080,4,0,0,1,1,0,Hispanic,F,3,2,2,NA,NA,NA,723,1,0,0,NA,NA,NA,NA,NA,NA,NA
4083,4,0,0,1,1,0,Hispanic,M,0,0,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA
4086,4,0,0,1,1,0,Hispanic,F,1,2,2,NA,NA,NA,717,1,0,0,NA,NA,NA,NA,NA,NA,NA
4087,4,0,0,0,1,0,Black,M,1,1,2,NA,NA,NA,707,1,0,0,NA,NA,NA,NA,NA,NA,NA
4088,4,0,0,1,1,1,Hispanic,F,NA,2,0,NA,NA,NA,716,1,0,0,NA,NA,NA,NA,NA,NA,NA
4092,4,0,0,1,1,0,Black,NA,0,0,0,NA,NA,NA,738,1,0,0,NA,NA,NA,NA,NA,NA,NA
